year,1,2,3,4,5,6,7,8,9,10,11,12
2021,1678,,,,,,,,,,,
2020,1680,1454,1751,1504,1585,1570,1858,1917,1872,2199,1835,1694
2019,1684,1615,1856,1814,1853,1640,1793,1603,1662,1539,1616,1494
2018,1641,1599,2005,1825,1863,1740,1725,1708,1728,1793,1623,1590
2017,1815,1646,1915,1940,2024,1869,1837,1852,1821,1642,1565,1395
2016,1851,1729,2113,1880,2065,1862,1862,1701,1765,1820,1683,1566
2015,2057,1771,2301,2094,2244,2018,2068,1901,1882,2016,1887,1786
2014,2079,1878,2317,2229,2262,2068,2024,2188,2257,2233,2096,1796
2013,2453,2156,2486,2383,2542,2318,2293,2197,2245,2164,2045,2001
2012,2268,2163,2588,2437,2525,2313,2413,2242,2314,2426,2140,2029
2011,2287,2151,2464,2711,3375,3037,2813,2612,2446,2402,2256,2097
2010,2536,2445,2957,2585,2782,2780,2873,2559,2490,2446,2812,2425
2009,2667,2490,3103,3066,3003,2857,2783,2525,2530,2811,2522,2488
2008,2542,2408,2939,2854,2796,2769,2652,2431,2714,3092,2539,2513
