"時点","地域コード","地域","（季節調整値）完全失業率（男女計）【%】","注記"
"1953年1月","00000","全国","1.9","標本設計改正（1952年末～1953年初）の影響があり，1953年4月以降の数値との比較には注意を要する。"
"1953年2月","00000","全国","1.9","標本設計改正（1952年末～1953年初）の影響があり，1953年4月以降の数値との比較には注意を要する。"
"1953年3月","00000","全国","1.8","標本設計改正（1952年末～1953年初）の影響があり，1953年4月以降の数値との比較には注意を要する。"
"1953年4月","00000","全国","2.0",""
"1953年5月","00000","全国","2.0",""
"1953年6月","00000","全国","1.9",""
"1953年7月","00000","全国","1.8",""
"1953年8月","00000","全国","1.8",""
"1953年9月","00000","全国","1.8",""
"1953年10月","00000","全国","1.7",""
"1953年11月","00000","全国","1.8",""
"1953年12月","00000","全国","1.6",""
"1954年1月","00000","全国","1.8",""
"1954年2月","00000","全国","1.8",""
"1954年3月","00000","全国","1.9",""
"1954年4月","00000","全国","2.0",""
"1954年5月","00000","全国","2.2",""
"1954年6月","00000","全国","2.3",""
"1954年7月","00000","全国","2.4",""
"1954年8月","00000","全国","2.6",""
"1954年9月","00000","全国","2.5",""
"1954年10月","00000","全国","2.6",""
"1954年11月","00000","全国","2.6",""
"1954年12月","00000","全国","2.7",""
"1955年1月","00000","全国","2.6",""
"1955年2月","00000","全国","2.5",""
"1955年3月","00000","全国","2.3",""
"1955年4月","00000","全国","2.5",""
"1955年5月","00000","全国","2.4",""
"1955年6月","00000","全国","2.6",""
"1955年7月","00000","全国","2.6",""
"1955年8月","00000","全国","2.6",""
"1955年9月","00000","全国","2.6",""
"1955年10月","00000","全国","2.7",""
"1955年11月","00000","全国","2.4",""
"1955年12月","00000","全国","2.4",""
"1956年1月","00000","全国","2.5",""
"1956年2月","00000","全国","2.6",""
"1956年3月","00000","全国","2.7",""
"1956年4月","00000","全国","2.4",""
"1956年5月","00000","全国","2.3",""
"1956年6月","00000","全国","2.2",""
"1956年7月","00000","全国","2.1",""
"1956年8月","00000","全国","2.1",""
"1956年9月","00000","全国","2.2",""
"1956年10月","00000","全国","2.0",""
"1956年11月","00000","全国","2.2",""
"1956年12月","00000","全国","2.3",""
"1957年1月","00000","全国","2.1",""
"1957年2月","00000","全国","2.0",""
"1957年3月","00000","全国","2.0",""
"1957年4月","00000","全国","2.0",""
"1957年5月","00000","全国","1.9",""
"1957年6月","00000","全国","1.8",""
"1957年7月","00000","全国","1.8",""
"1957年8月","00000","全国","1.8",""
"1957年9月","00000","全国","2.0",""
"1957年10月","00000","全国","2.0",""
"1957年11月","00000","全国","1.9",""
"1957年12月","00000","全国","1.8",""
"1958年1月","00000","全国","1.9",""
"1958年2月","00000","全国","1.9",""
"1958年3月","00000","全国","2.0",""
"1958年4月","00000","全国","2.0",""
"1958年5月","00000","全国","2.0",""
"1958年6月","00000","全国","2.2",""
"1958年7月","00000","全国","2.1",""
"1958年8月","00000","全国","2.2",""
"1958年9月","00000","全国","2.2",""
"1958年10月","00000","全国","2.1",""
"1958年11月","00000","全国","2.1",""
"1958年12月","00000","全国","2.1",""
"1959年1月","00000","全国","2.4",""
"1959年2月","00000","全国","2.5",""
"1959年3月","00000","全国","2.4",""
"1959年4月","00000","全国","2.2",""
"1959年5月","00000","全国","2.2",""
"1959年6月","00000","全国","2.3",""
"1959年7月","00000","全国","2.3",""
"1959年8月","00000","全国","2.3",""
"1959年9月","00000","全国","2.0",""
"1959年10月","00000","全国","1.9",""
"1959年11月","00000","全国","2.0",""
"1959年12月","00000","全国","2.0",""
"1960年1月","00000","全国","1.9",""
"1960年2月","00000","全国","1.7",""
"1960年3月","00000","全国","1.7",""
"1960年4月","00000","全国","1.7",""
"1960年5月","00000","全国","1.7",""
"1960年6月","00000","全国","1.6",""
"1960年7月","00000","全国","1.5",""
"1960年8月","00000","全国","1.6",""
"1960年9月","00000","全国","1.6",""
"1960年10月","00000","全国","1.4",""
"1960年11月","00000","全国","1.5",""
"1960年12月","00000","全国","1.5",""
"1961年1月","00000","全国","1.5",""
"1961年2月","00000","全国","1.5",""
"1961年3月","00000","全国","1.3",""
"1961年4月","00000","全国","1.4",""
"1961年5月","00000","全国","1.5",""
"1961年6月","00000","全国","1.5",""
"1961年7月","00000","全国","1.5",""
"1961年8月","00000","全国","1.4",""
"1961年9月","00000","全国","1.4",""
"1961年10月","00000","全国","1.4",""
"1961年11月","00000","全国","1.5",""
"1961年12月","00000","全国","1.4",""
"1962年1月","00000","全国","1.3",""
"1962年2月","00000","全国","1.3",""
"1962年3月","00000","全国","1.3",""
"1962年4月","00000","全国","1.4",""
"1962年5月","00000","全国","1.2",""
"1962年6月","00000","全国","1.3",""
"1962年7月","00000","全国","1.3",""
"1962年8月","00000","全国","1.2",""
"1962年9月","00000","全国","1.2",""
"1962年10月","00000","全国","1.4",""
"1962年11月","00000","全国","1.3",""
"1962年12月","00000","全国","1.3",""
"1963年1月","00000","全国","1.4",""
"1963年2月","00000","全国","1.4",""
"1963年3月","00000","全国","1.4",""
"1963年4月","00000","全国","1.2",""
"1963年5月","00000","全国","1.3",""
"1963年6月","00000","全国","1.1",""
"1963年7月","00000","全国","1.1",""
"1963年8月","00000","全国","1.2",""
"1963年9月","00000","全国","1.3",""
"1963年10月","00000","全国","1.2",""
"1963年11月","00000","全国","1.2",""
"1963年12月","00000","全国","1.3",""
"1964年1月","00000","全国","1.2",""
"1964年2月","00000","全国","1.3",""
"1964年3月","00000","全国","1.2",""
"1964年4月","00000","全国","1.2",""
"1964年5月","00000","全国","1.1",""
"1964年6月","00000","全国","1.2",""
"1964年7月","00000","全国","1.2",""
"1964年8月","00000","全国","1.2",""
"1964年9月","00000","全国","1.1",""
"1964年10月","00000","全国","1.1",""
"1964年11月","00000","全国","1.1",""
"1964年12月","00000","全国","1.1",""
"1965年1月","00000","全国","1.1",""
"1965年2月","00000","全国","1.2",""
"1965年3月","00000","全国","1.1",""
"1965年4月","00000","全国","1.2",""
"1965年5月","00000","全国","1.2",""
"1965年6月","00000","全国","1.3",""
"1965年7月","00000","全国","1.3",""
"1965年8月","00000","全国","1.2",""
"1965年9月","00000","全国","1.3",""
"1965年10月","00000","全国","1.3",""
"1965年11月","00000","全国","1.3",""
"1965年12月","00000","全国","1.3",""
"1966年1月","00000","全国","1.4",""
"1966年2月","00000","全国","1.3",""
"1966年3月","00000","全国","1.4",""
"1966年4月","00000","全国","1.3",""
"1966年5月","00000","全国","1.4",""
"1966年6月","00000","全国","1.3",""
"1966年7月","00000","全国","1.2",""
"1966年8月","00000","全国","1.3",""
"1966年9月","00000","全国","1.4",""
"1966年10月","00000","全国","1.3",""
"1966年11月","00000","全国","1.3",""
"1966年12月","00000","全国","1.2",""
"1967年1月","00000","全国","1.2",""
"1967年2月","00000","全国","1.1",""
"1967年3月","00000","全国","1.6",""
"1967年4月","00000","全国","1.3",""
"1967年5月","00000","全国","1.2",""
"1967年6月","00000","全国","1.3",""
"1967年7月","00000","全国","1.2",""
"1967年8月","00000","全国","1.2",""
"1967年9月","00000","全国","1.1",""
"1967年10月","00000","全国","1.2",""
"1967年11月","00000","全国","1.3",""
"1967年12月","00000","全国","1.3",""
